player_name_home_player_1_info,player_name_home_player_2_info,player_name_home_player_3_info,player_name_home_player_4_info,player_name_home_player_5_info,player_name_home_player_6_info,player_name_home_player_7_info,player_name_home_player_8_info,player_name_home_player_9_info,player_name_home_player_10_info,player_name_home_player_11_info,player_name_home_player_1_info.1,player_name_home_player_2_info.1,player_name_home_player_3_info.1,player_name_home_player_4_info.1,player_name_home_player_5_info.1,player_name_home_player_6_info.1,player_name_home_player_7_info.1,player_name_home_player_8_info.1,player_name_home_player_9_info.1,player_name_home_player_10_info.1,player_name_home_player_11_info.1,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,home_player_1_position,home_player_2_position,home_player_3_position,home_player_4_position,home_player_5_position,home_player_6_position,home_player_7_position,home_player_8_position,home_player_9_position,home_player_10_position,home_player_11_position
Carlos Kameni,Sergio Sanchez,Daniel Jarque,,Gregory Beranger,Roman Martinez,Hurtado Perez Moises,Ivan de la Pena,Valdo,Raul Tamudo,Luis Garcia,Carlos Kameni,Sergio Sanchez,Daniel Jarque,,Gregory Beranger,Roman Martinez,Hurtado Perez Moises,Ivan de la Pena,Valdo,Raul Tamudo,Luis Garcia,25563,28439,33768.0,,75196,18592,24099,32766,33872,32764,24852,1.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,10.0,10.0,10.0
Carlos Kameni,Steve Finnan,Daniel Jarque,Sergio Sanchez,Gregory Beranger,Roman Martinez,Hurtado Perez Moises,Ferran Corominas,Luis Garcia,Nene,Raul Tamudo,Carlos Kameni,Steve Finnan,Daniel Jarque,Sergio Sanchez,Gregory Beranger,Roman Martinez,Hurtado Perez Moises,Ferran Corominas,Luis Garcia,Nene,Raul Tamudo,25563,24137,33768.0,28439.0,75196,18592,24099,33773,24852,37429,32764,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Sergio Sanchez,,Daniel Jarque,Gregory Beranger,Hurtado Perez Moises,Angel Cervara,Ferran Corominas,Nene,Luis Garcia,Raul Tamudo,Carlos Kameni,Sergio Sanchez,,Daniel Jarque,Gregory Beranger,Hurtado Perez Moises,Angel Cervara,Ferran Corominas,Nene,Luis Garcia,Raul Tamudo,25563,28439,,33768.0,75196,24099,47193,33773,37429,24852,32764,1.0,3.0,3.0,3.0,3.0,5.0,5.0,7.0,7.0,10.0,10.0
Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,Francisco Chica,Angel Cervara,Hurtado Perez Moises,Luis Garcia,Ferran Corominas,Nene,Jose Maria Callejon,Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,Francisco Chica,Angel Cervara,Hurtado Perez Moises,Luis Garcia,Ferran Corominas,Nene,Jose Maria Callejon,25563,28439,33768.0,38385.0,45440,47193,24099,24852,33773,37429,150330,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,Francisco Chica,Hurtado Perez Moises,Angel Cervara,Francisco Rufete,Ferran Corominas,Nene,Luis Garcia,Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,Francisco Chica,Hurtado Perez Moises,Angel Cervara,Francisco Rufete,Ferran Corominas,Nene,Luis Garcia,25563,28439,33768.0,38385.0,45440,24099,47193,37455,33773,37429,24852,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Francisco Chica,Daniel Jarque,Nicolas Pareja,Gregory Beranger,Milan Smiljanic,Roman Martinez,Jose Maria Callejon,Ferran Corominas,Nene,Luis Garcia,Carlos Kameni,Francisco Chica,Daniel Jarque,Nicolas Pareja,Gregory Beranger,Milan Smiljanic,Roman Martinez,Jose Maria Callejon,Ferran Corominas,Nene,Luis Garcia,25563,45440,33768.0,38385.0,75196,16230,18592,150330,33773,37429,24852,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Sergio Sanchez,Marc Torrejon Moya,Nicolas Pareja,David Garcia,Milan Smiljanic,Roman Martinez,Ferran Corominas,Luis Garcia,Nene,Ivan Alonso,Carlos Kameni,Sergio Sanchez,Marc Torrejon Moya,Nicolas Pareja,David Garcia,Milan Smiljanic,Roman Martinez,Ferran Corominas,Luis Garcia,Nene,Ivan Alonso,25563,28439,37879.0,38385.0,33767,16230,18592,33773,24852,37429,75194,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,David Garcia,Hurtado Perez Moises,Luis Garcia,Roman Martinez,Ivan de la Pena,Nene,Ivan Alonso,Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,David Garcia,Hurtado Perez Moises,Luis Garcia,Roman Martinez,Ivan de la Pena,Nene,Ivan Alonso,25563,28439,33768.0,38385.0,33767,24099,24852,18592,32766,37429,75194,1.0,3.0,3.0,3.0,3.0,5.0,7.0,7.0,7.0,7.0,11.0
Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,David Garcia,Hurtado Perez Moises,Ivan de la Pena,Francisco Rufete,Luis Garcia,Nene,Raul Tamudo,Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,David Garcia,Hurtado Perez Moises,Ivan de la Pena,Francisco Rufete,Luis Garcia,Nene,Raul Tamudo,25563,28439,33768.0,38385.0,33767,24099,32766,37455,24852,37429,32764,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,David Garcia,Jose Maria Callejon,Hurtado Perez Moises,Ivan de la Pena,Ivan Alonso,Nene,Raul Tamudo,Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,David Garcia,Jose Maria Callejon,Hurtado Perez Moises,Ivan de la Pena,Ivan Alonso,Nene,Raul Tamudo,25563,28439,33768.0,38385.0,33767,150330,24099,32766,75194,37429,32764,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,Gregory Beranger,Ferran Corominas,Hurtado Perez Moises,Roman Martinez,Nene,Luis Garcia,Raul Tamudo,Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,Gregory Beranger,Ferran Corominas,Hurtado Perez Moises,Roman Martinez,Nene,Luis Garcia,Raul Tamudo,25563,28439,33768.0,38385.0,75196,33773,24099,18592,37429,24852,32764,1.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,10.0,10.0
Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,David Garcia,Hurtado Perez Moises,Roman Martinez,Luis Garcia,Ivan Alonso,Nene,Raul Tamudo,Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,David Garcia,Hurtado Perez Moises,Roman Martinez,Luis Garcia,Ivan Alonso,Nene,Raul Tamudo,25563,28439,33768.0,38385.0,33767,24099,18592,24852,75194,37429,32764,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,David Garcia,Luis Garcia,Hurtado Perez Moises,Ivan de la Pena,Nene,Ivan Alonso,Raul Tamudo,Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,David Garcia,Luis Garcia,Hurtado Perez Moises,Ivan de la Pena,Nene,Ivan Alonso,Raul Tamudo,25563,28439,33768.0,38385.0,33767,24852,24099,32766,37429,75194,32764,1.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,10.0,10.0
Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,Francisco Chica,Luis Garcia,Hurtado Perez Moises,Ivan de la Pena,Nene,Ivan Alonso,Raul Tamudo,Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,Francisco Chica,Luis Garcia,Hurtado Perez Moises,Ivan de la Pena,Nene,Ivan Alonso,Raul Tamudo,25563,28439,33768.0,38385.0,45440,24852,24099,32766,37429,75194,32764,1.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,10.0,10.0
Carlos Kameni,Sergio Sanchez,Daniel Jarque,Marc Torrejon Moya,David Garcia,Ivan de la Pena,Hurtado Perez Moises,Luis Garcia,Jose Maria Callejon,Nene,Ivan Alonso,Carlos Kameni,Sergio Sanchez,Daniel Jarque,Marc Torrejon Moya,David Garcia,Ivan de la Pena,Hurtado Perez Moises,Luis Garcia,Jose Maria Callejon,Nene,Ivan Alonso,25563,28439,33768.0,37879.0,33767,32766,24099,24852,150330,37429,75194,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Francisco Chica,Daniel Jarque,Nicolas Pareja,David Garcia,Hurtado Perez Moises,Ivan de la Pena,Francisco Rufete,Luis Garcia,Nene,Raul Tamudo,Carlos Kameni,Francisco Chica,Daniel Jarque,Nicolas Pareja,David Garcia,Hurtado Perez Moises,Ivan de la Pena,Francisco Rufete,Luis Garcia,Nene,Raul Tamudo,25563,45440,33768.0,38385.0,33767,24099,32766,37455,24852,37429,32764,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Sergio Sanchez,Nicolas Pareja,Daniel Jarque,Francisco Chica,Hurtado Perez Moises,Roman Martinez,Ferran Corominas,Luis Garcia,Nene,Raul Tamudo,Carlos Kameni,Sergio Sanchez,Nicolas Pareja,Daniel Jarque,Francisco Chica,Hurtado Perez Moises,Roman Martinez,Ferran Corominas,Luis Garcia,Nene,Raul Tamudo,25563,28439,38385.0,33768.0,45440,24099,18592,33773,24852,37429,32764,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,Gregory Beranger,Roman Martinez,Hurtado Perez Moises,Luis Garcia,Ivan de la Pena,Nene,Raul Tamudo,Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,Gregory Beranger,Roman Martinez,Hurtado Perez Moises,Luis Garcia,Ivan de la Pena,Nene,Raul Tamudo,25563,28439,33768.0,38385.0,75196,18592,24099,24852,32766,37429,32764,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,Gregory Beranger,Ferran Corominas,Hurtado Perez Moises,Ivan de la Pena,Nene,Luis Garcia,Raul Tamudo,Carlos Kameni,Sergio Sanchez,Daniel Jarque,Nicolas Pareja,Gregory Beranger,Ferran Corominas,Hurtado Perez Moises,Ivan de la Pena,Nene,Luis Garcia,Raul Tamudo,25563,28439,33768.0,38385.0,75196,33773,24099,32766,37429,24852,32764,1.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,10.0,10.0
Carlos Kameni,Francisco Chica,Nicolas Pareja,Juan Forlin,David Garcia,Joan Verdu,Hurtado Perez Moises,Luis Garcia,Ivan Alonso,Jose Maria Callejon,Raul Tamudo,Carlos Kameni,Francisco Chica,Nicolas Pareja,Juan Forlin,David Garcia,Joan Verdu,Hurtado Perez Moises,Luis Garcia,Ivan Alonso,Jose Maria Callejon,Raul Tamudo,25563,45440,38385.0,121716.0,33767,37441,24099,24852,75194,150330,32764,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Ivan Pillud,Victor Ruiz,Nicolas Pareja,Francisco Chica,Jose Raul Baena,Juan Forlin,Ferran Corominas,Luis Garcia,Ben Sahar,Jose Maria Callejon,Carlos Kameni,Ivan Pillud,Victor Ruiz,Nicolas Pareja,Francisco Chica,Jose Raul Baena,Juan Forlin,Ferran Corominas,Luis Garcia,Ben Sahar,Jose Maria Callejon,25563,164033,182921.0,38385.0,45440,186121,121716,33773,24852,47552,150330,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Facundo Sebastian Roncaglia,Victor Ruiz,Nicolas Pareja,Francisco Chica,Hurtado Perez Moises,Javi Moreno Marquez,Luis Garcia,Joan Verdu,Jose Maria Callejon,Ivan Alonso,Carlos Kameni,Facundo Sebastian Roncaglia,Victor Ruiz,Nicolas Pareja,Francisco Chica,Hurtado Perez Moises,Javi Moreno Marquez,Luis Garcia,Joan Verdu,Jose Maria Callejon,Ivan Alonso,25563,113318,182921.0,38385.0,45440,24099,80492,24852,37441,150330,75194,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Cristian Alvarez,Facundo Sebastian Roncaglia,Nicolas Pareja,Juan Forlin,Francisco Chica,Hurtado Perez Moises,Javi Moreno Marquez,Luis Garcia,Joan Verdu,Jose Maria Callejon,Ivan Alonso,Cristian Alvarez,Facundo Sebastian Roncaglia,Nicolas Pareja,Juan Forlin,Francisco Chica,Hurtado Perez Moises,Javi Moreno Marquez,Luis Garcia,Joan Verdu,Jose Maria Callejon,Ivan Alonso,113695,113318,38385.0,121716.0,45440,24099,80492,24852,37441,150330,75194,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Cristian Alvarez,Francisco Chica,Hurtado Perez Moises,Victor Ruiz,David Garcia,Jose Raul Baena,Javi Moreno Marquez,Joan Verdu,Luis Garcia,Jose Maria Callejon,Pablo Osvaldo,Cristian Alvarez,Francisco Chica,Hurtado Perez Moises,Victor Ruiz,David Garcia,Jose Raul Baena,Javi Moreno Marquez,Joan Verdu,Luis Garcia,Jose Maria Callejon,Pablo Osvaldo,113695,45440,24099.0,182921.0,33767,186121,80492,37441,24852,150330,40165,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Francisco Chica,Nicolas Pareja,Juan Forlin,David Garcia,Shunsuke Nakamura,Hurtado Perez Moises,Joan Verdu,Luis Garcia,Ivan Alonso,Raul Tamudo,Carlos Kameni,Francisco Chica,Nicolas Pareja,Juan Forlin,David Garcia,Shunsuke Nakamura,Hurtado Perez Moises,Joan Verdu,Luis Garcia,Ivan Alonso,Raul Tamudo,25563,45440,38385.0,121716.0,33767,30851,24099,37441,24852,75194,32764,1.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,10.0,10.0
Cristian Alvarez,Francisco Chica,Nicolas Pareja,Victor Ruiz,Didac Vila,Jose Raul Baena,Javi Moreno Marquez,Luis Garcia,Joan Verdu,Jose Maria Callejon,Pablo Osvaldo,Cristian Alvarez,Francisco Chica,Nicolas Pareja,Victor Ruiz,Didac Vila,Jose Raul Baena,Javi Moreno Marquez,Luis Garcia,Joan Verdu,Jose Maria Callejon,Pablo Osvaldo,113695,45440,38385.0,182921.0,163971,186121,80492,24852,37441,150330,40165,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Francisco Chica,Nicolas Pareja,Victor Ruiz,David Garcia,Jose Raul Baena,Javi Moreno Marquez,Luis Garcia,Joan Verdu,Jose Maria Callejon,Ivan Alonso,Carlos Kameni,Francisco Chica,Nicolas Pareja,Victor Ruiz,David Garcia,Jose Raul Baena,Javi Moreno Marquez,Luis Garcia,Joan Verdu,Jose Maria Callejon,Ivan Alonso,25563,45440,38385.0,182921.0,33767,186121,80492,24852,37441,150330,75194,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Francisco Chica,Juan Forlin,Victor Ruiz,Didac Vila,Hurtado Perez Moises,Javi Moreno Marquez,Luis Garcia,Joan Verdu,Jose Maria Callejon,Pablo Osvaldo,Carlos Kameni,Francisco Chica,Juan Forlin,Victor Ruiz,Didac Vila,Hurtado Perez Moises,Javi Moreno Marquez,Luis Garcia,Joan Verdu,Jose Maria Callejon,Pablo Osvaldo,25563,45440,121716.0,182921.0,163971,24099,80492,24852,37441,150330,40165,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Cristian Alvarez,Francisco Chica,Nicolas Pareja,Victor Ruiz,Didac Vila,Hurtado Perez Moises,Javi Moreno Marquez,Jose Maria Callejon,Luis Garcia,Fernando Marquez,Pablo Osvaldo,Cristian Alvarez,Francisco Chica,Nicolas Pareja,Victor Ruiz,Didac Vila,Hurtado Perez Moises,Javi Moreno Marquez,Jose Maria Callejon,Luis Garcia,Fernando Marquez,Pablo Osvaldo,113695,45440,38385.0,182921.0,163971,24099,80492,150330,24852,68411,40165,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Francisco Chica,Nicolas Pareja,Juan Forlin,Didac Vila,Hurtado Perez Moises,Joan Verdu,Fernando Marquez,Luis Garcia,Jose Maria Callejon,Pablo Osvaldo,Carlos Kameni,Francisco Chica,Nicolas Pareja,Juan Forlin,Didac Vila,Hurtado Perez Moises,Joan Verdu,Fernando Marquez,Luis Garcia,Jose Maria Callejon,Pablo Osvaldo,25563,45440,38385.0,121716.0,163971,24099,37441,68411,24852,150330,40165,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Francisco Chica,Victor Ruiz,Nicolas Pareja,Didac Vila,Hurtado Perez Moises,Jose Raul Baena,Fernando Marquez,Luis Garcia,Jose Maria Callejon,Pablo Osvaldo,Carlos Kameni,Francisco Chica,Victor Ruiz,Nicolas Pareja,Didac Vila,Hurtado Perez Moises,Jose Raul Baena,Fernando Marquez,Luis Garcia,Jose Maria Callejon,Pablo Osvaldo,25563,45440,182921.0,38385.0,163971,24099,186121,68411,24852,150330,40165,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Francisco Chica,Nicolas Pareja,Victor Ruiz,Didac Vila,Juan Forlin,Jose Raul Baena,Jose Maria Callejon,Joan Verdu,Luis Garcia,Pablo Osvaldo,Carlos Kameni,Francisco Chica,Nicolas Pareja,Victor Ruiz,Didac Vila,Juan Forlin,Jose Raul Baena,Jose Maria Callejon,Joan Verdu,Luis Garcia,Pablo Osvaldo,25563,45440,38385.0,182921.0,163971,121716,186121,150330,37441,24852,40165,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Jordi Amat,Facundo Sebastian Roncaglia,Victor Ruiz,Didac Vila,Joan Verdu,Hurtado Perez Moises,Luis Garcia,Ivan Alonso,Jose Maria Callejon,Pablo Osvaldo,Carlos Kameni,Jordi Amat,Facundo Sebastian Roncaglia,Victor Ruiz,Didac Vila,Joan Verdu,Hurtado Perez Moises,Luis Garcia,Ivan Alonso,Jose Maria Callejon,Pablo Osvaldo,25563,193223,113318.0,182921.0,163971,37441,24099,24852,75194,150330,40165,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Jordi Amat,Juan Forlin,Victor Ruiz,David Garcia,Joan Verdu,Hurtado Perez Moises,Ferran Corominas,Ivan Alonso,Jose Maria Callejon,Pablo Osvaldo,Carlos Kameni,Jordi Amat,Juan Forlin,Victor Ruiz,David Garcia,Joan Verdu,Hurtado Perez Moises,Ferran Corominas,Ivan Alonso,Jose Maria Callejon,Pablo Osvaldo,25563,193223,121716.0,182921.0,33767,37441,24099,33773,75194,150330,40165,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Francisco Chica,Juan Forlin,Nicolas Pareja,David Garcia,Hurtado Perez Moises,Joan Verdu,Luis Garcia,Ferran Corominas,Ben Sahar,Jose Maria Callejon,Carlos Kameni,Francisco Chica,Juan Forlin,Nicolas Pareja,David Garcia,Hurtado Perez Moises,Joan Verdu,Luis Garcia,Ferran Corominas,Ben Sahar,Jose Maria Callejon,25563,45440,121716.0,38385.0,33767,24099,37441,24852,33773,47552,150330,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
Carlos Kameni,Francisco Chica,Nicolas Pareja,Facundo Sebastian Roncaglia,David Garcia,Hurtado Perez Moises,Joan Verdu,Ferran Corominas,Ivan Alonso,Shunsuke Nakamura,Jose Maria Callejon,Carlos Kameni,Francisco Chica,Nicolas Pareja,Facundo Sebastian Roncaglia,David Garcia,Hurtado Perez Moises,Joan Verdu,Ferran Corominas,Ivan Alonso,Shunsuke Nakamura,Jose Maria Callejon,25563,45440,38385.0,113318.0,33767,24099,37441,33773,75194,30851,150330,1.0,3.0,3.0,3.0,3.0,6.0,6.0,8.0,8.0,8.0,11.0
